,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,Number of jobs,Conf %,Median,Conf %,Annual percentage change - median,Conf %,Mean,Conf %,Annual percentage change - mean,Conf %,10 percentile,Conf %,20 percentile,Conf %,25 percentile,Conf %,30 percentile,Conf %,40 percentile,Conf %,60 percentile,Conf %,70 percentile,Conf %,75 percentile,Conf %,80 percentile,Conf %,90 percentile,Conf %
W06000001,lacu:Isle of Anglesey,17000,11.9,589.2,5.4,0.4,-,605.1,3.7,-4.6,-,382.3,8.4,427.5,,,,,,,,,,,,,,,,,
W06000002,lacu:Gwynedd,28000,9.2,539.3,8.6,4.1,-,620.7,3.8,4.5,-,373,3,404.7,,,,,,,,,,,,,,,,,
W06000003,lacu:Conwy,30000,9,610,7.5,9.9,-,690,4.9,11.8,-,383.6,4.8,429,,,,,,,,,,,,,,,,,
W06000004,lacu:Denbighshire,24000,9.8,538.8,6,3.8,-,585.4,3.6,-0.6,-,373.7,4.3,407.5,,,,,,,,,,,,,,,,,
W06000005,lacu:Flintshire,49000,6.9,601,5.8,4.2,-,689.6,5.5,4.3,-,399.2,2.3,435,,,,,,,,,,,,,,,,,
W06000006,lacu:Wrexham,42000,7.4,616.7,4,7.3,-,684.6,3.4,8.1,-,382.6,3.7,438.7,,,,,,,,,,,,,,,,,
W06000023,lacu:Powys,28000,9.2,568.8,6.1,5.9,-,652.5,3.9,7.9,-,398.4,3.5,424.8,,,,,,,,,,,,,,,,,
W06000008,lacu:Ceredigion,21000,10.8,583.7,9.7,5.4,-,687.4,6.1,5.6,-,387.4,4.1,441.4,,,,,,,,,,,,,,,,,
W06000009,lacu:Pembrokeshire,27000,9.4,609.6,9.5,7.1,-,688.8,4.2,5.8,-,403.1,3.5,450.3,,,,,,,,,,,,,,,,,
W06000010,lacu:Carmarthenshire,47000,7.1,623.4,6,8.7,-,694.8,3.3,5.6,-,380.6,3.6,452.3,,,,,,,,,,,,,,,,,
W06000011,lacu:Swansea,68000,5.8,593.1,3.1,6.9,-,655.7,2.6,6,-,384.5,1.4,418.8,,,,,,,,,,,,,,,,,
W06000012,lacu:Neath Port Talbot,40000,7.6,611,5.2,2.9,-,679.3,3.3,8.5,-,394.3,3.1,436.5,,,,,,,,,,,,,,,,,
W06000013,lacu:Bridgend,44000,7.4,609.4,6.7,5.5,-,668.5,3.2,5.8,-,388.7,1.8,419.2,,,,,,,,,,,,,,,,,
W06000014,lacu:Vale of Glamorgan,35000,8.1,642.4,7,7.9,-,707.9,5,5.5,-,391.8,3.3,437.3,,,,,,,,,,,,,,,,,
W06000015,lacu:Cardiff,111000,4.7,627,3.4,9.1,-,694.6,2,7.4,-,397,1.4,442.2,,,,,,,,,,,,,,,,,
W06000016,lacu:Rhondda Cynon Taff,71000,5.8,591.9,4.5,5,-,659.9,2.8,3.9,-,375.3,2,423.1,,,,,,,,,,,,,,,,,
W06000024,lacu:Merthyr Tydfil,21000,10.6,540.6,6.7,2.1,-,646.2,4.6,3.4,-,388.2,5,432.7,,,,,,,,,,,,,,,,,
W06000018,lacu:Caerphilly,54000,6.6,589.5,4.8,4.9,-,669.2,3,5.3,-,389.9,2.2,435,,,,,,,,,,,,,,,,,
W06000019,lacu:Blaenau Gwent,18000,11.7,578,8.4,10.6,-,618.7,4,9.3,-,380.1,4.7,421.2,,,,,,,,,,,,,,,,,
W06000020,lacu:Torfaen,29000,9,594.4,6,7.9,-,639.8,3.7,1,-,391.7,5.5,434,,,,,,,,,,,,,,,,,
W06000021,lacu:Monmouthshire,25000,10.1,714.8,7.7,4.2,-,783.8,4.7,-1.2,-,394.9,5.5,476.9,,,,,,,,,,,,,,,,,
W06000022,lacu:Newport,44000,7.3,613.7,4.7,7.6,-,686,3.3,9.6,-,404.4,2.3,456.9,3.4,477.6,3.4,507.1,4.2,564.5,4.5,678.7,5.4,747,7.5,825,8.3,876.4,10,-,-
